link,tieu_de,dia_chi,loai_hinh,muc_gia_ty,gia_m2_trieu,dien_tich_m2,so_phong_ngu,so_phong_tam_ve_sinh,phap_ly,noi_that,so_tang,mat_tien_m,duong_vao_m,huong_nha,huong_ban_cong,ngay_dang,phuong,quan
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-100-tot-nhat-chinh-chu-gui-ban-tot-nhat-park-pr43708082,QUỸ 100 CĂN GIÁ TỐT NHẤT CHÍNH CHỦ GỬI BÁN TẠI VINHOMES OCEAN PARK -SẴN SỔ ĐỎ -VIEW ĐẸP-ĐI XEM NGAY,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội",Căn hộ chung cư,3.2,58.18,55.0,2.0,2.0,Có,Đầy đủ,,,,Đông - Nam,Đông - Nam,06/08/2025,Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-vin-ocp-chinh-chu-view-dep-re-phap-ly-ro-rang-mien-phi-mg-ht-vay-80-pr43537653,"Quỹ căn độc quyền giá tốt view đẹp, sẵn sổ, hỗ trợ vay 70% xem nhà 24/7, miễn phí môi giới","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Căn hộ chung cư,2.95,50.0,59.0,2.0,1.0,Có,Không có,,,,,,14/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-sa-xa-dong-hoi-prj-lumiere-prime-hills/co-so-huu-stu-1n-1n-2n-3n-vin-co-loa-gia-tot-nhat-dot-1-full-nt-pr43427342,"Sẵn quỹ căn 1N, 1N +, 2N, 3N Lumiere Prime Hills, Vin Cổ Loa giá tốt nhất đợt 1, full NT","Dự án Lumière Prime Hills, Đường Trường Sa, Xã Đông Hội, Đông Anh, Hà Nội",Căn hộ chung cư,4.1,100.0,41.0,1.0,1.0,Không,Không có,,,,Đông - Bắc,Tây - Nam,14/08/2025,Xã Đông Hội,Đông Anh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-09-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-bt-song-lap-9-truc-thong-ho-tot-29-ty-bao-phi-tai-lam-pr43551548,"Bán nhanh BT song lập Sao Biển 9 trục thông hồ, giá tốt 29 tỷ bao phí tại Vinhomes Gia Lâm","Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 09, Xã Dương Xá, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,29.0,203.94,142.2,,,Có,Không có,4.0,7.9,13.0,Đông - Nam,Đông - Nam,09/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-thuong-1-prj-sunshine-riverside/-goc-3-ngu-full-do-view-song-hong-90m2-tang-cao-gia-7-6-ty-so-do-pr42479033,Căn góc 3 ngủ Sunshine Riverside - full đồ - view Sông Hồng - 90m2 - tầng cao - giá: 8.3 tỷ (sổ đỏ),"Dự án Sunshine Riverside, Phường Phú Thượng, Tây Hồ, Hà Nội",Căn hộ chung cư,8.3,92.22,90.0,3.0,2.0,Có,Đầy đủ,,,,,Nam,12/08/2025,Phường Phú Thượng,Tây Hồ
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-viha-complex/em-huy-pkd-chu-dau-tu-ban-3pn3vs-gia-tot-nhat-thi-truong-6-khac-biet-noi-troi-cua-leciva-pr40405001,Em Huy PKD chủ đầu tư cần bán gấp căn hộ 3PN 3VS đẹp nhất dự án Viha Leciva giá tốt nhất thị trường,"Viha Complex, Số 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Căn hộ chung cư,8.9,91.75,97.0,3.0,3.0,Không,Không có,,,,,,14/08/2025,Phường Thanh Xuân Trung,Thanh Xuân
https://batdongsan.com.vn/ban-nha-mat-pho-pho-tran-dai-nghia-phuong-dong-tam/ban-216-quan-hai-ba-trung-doan-dep-k-bo-song-pr40767939,"MP Trần Đại Nghĩa mặt tiền 9m-164m2, P. Đồng Tâm, quận Hai Bà Trưng, đoạn đẹp mặt bờ sông. Ảnh thật","Phố Trần Đại Nghĩa, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",Nhà mặt phố,42.0,256.1,164.0,,,Có,Không có,1.0,9.0,9.0,Đông,Đông,13/08/2025,Phường Đồng Tâm,Hai Bà Trưng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-19-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-xe-khe-19-dt-131m2-1-25-ty-net-pr43757458,Bán nhanh biệt thự liền kề xẻ khe Sao Biển 19 DT 130.9m Vinhomes Ocean Park 1 Gia Lâm giá 25 tỷ nét,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 19, Xã Dương Xá, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,25.0,190.98,130.9,,,Có,Không có,3.0,9.35,13.0,Đông - Bắc,Đông - Bắc,11/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-chu-trinh-phuong-phan-chu-trinh/-1-so-1-goc-2-tien-duoc-xay-cao-tang-pr41152872,"Ảnh thật mặt phố Phan Chu Trinh, 1 sổ 1 chủ - góc 2 mặt tiền, đối diện Hilton","Đường Phan Chu Trinh, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Nhà mặt phố,55.0,916.67,60.0,1.0,1.0,Có,Không có,1.0,4.25,25.0,,Tây,13/08/2025,Phường Phan Chu Trinh,Hoàn Kiếm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-an-khanh-4-prj-vinhomes-thang-long/chinh-chu-g-ban-phu-dong-nam-view-vuon-hoa-2-mat-duong-pr42871506,"Gửi bán biệt thự 175m2 Đông Nam, gần hồ, bể bơi giá chỉ 180 triệu/m2","Dự án Vinhomes Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",Nhà biệt thự liền kề,31.5,180.0,175.0,5.0,,Có,Đầy đủ,,,,Đông - Nam,,13/08/2025,Xã An Khánh,Hoài Đức
