link,tieu_de,dia_chi,loai_hinh,muc_gia_ty,gia_m2_trieu,dien_tich_m2,so_phong_ngu,so_phong_tam_ve_sinh,phap_ly,noi_that,so_tang,mat_tien_m,duong_vao_m,huong_nha,huong_ban_cong,ngay_dang,phuong,quan
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-100-tot-nhat-chinh-chu-gui-ban-tot-nhat-park-pr43708082,QUỸ 100 CĂN GIÁ TỐT NHẤT CHÍNH CHỦ GỬI BÁN TẠI VINHOMES OCEAN PARK -SẴN SỔ ĐỎ -VIEW ĐẸP-ĐI XEM NGAY,"Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội",Căn hộ chung cư,3.2,58.18,55.0,2.0,2.0,Có,Đầy đủ,,,,Đông - Nam,Đông - Nam,06/08/2025,Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-vin-ocp-chinh-chu-view-dep-re-phap-ly-ro-rang-mien-phi-mg-ht-vay-80-pr43537653,"Quỹ căn độc quyền giá tốt view đẹp, sẵn sổ, hỗ trợ vay 70% xem nhà 24/7, miễn phí môi giới","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Căn hộ chung cư,2.95,50.0,59.0,2.0,1.0,Có,Không có,,,,,,14/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-sa-xa-dong-hoi-prj-lumiere-prime-hills/co-so-huu-stu-1n-1n-2n-3n-vin-co-loa-gia-tot-nhat-dot-1-full-nt-pr43427342,"Sẵn quỹ căn 1N, 1N +, 2N, 3N Lumiere Prime Hills, Vin Cổ Loa giá tốt nhất đợt 1, full NT","Dự án Lumière Prime Hills, Đường Trường Sa, Xã Đông Hội, Đông Anh, Hà Nội",Căn hộ chung cư,4.1,100.0,41.0,1.0,1.0,Không,Không có,,,,Đông - Bắc,Tây - Nam,14/08/2025,Xã Đông Hội,Đông Anh
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-thuong-1-prj-sunshine-riverside/-goc-3-ngu-full-do-view-song-hong-90m2-tang-cao-gia-7-6-ty-so-do-pr42479033,Căn góc 3 ngủ Sunshine Riverside - full đồ - view Sông Hồng - 90m2 - tầng cao - giá: 8.3 tỷ (sổ đỏ),"Dự án Sunshine Riverside, Phường Phú Thượng, Tây Hồ, Hà Nội",Căn hộ chung cư,8.3,92.22,90.0,3.0,2.0,Có,Đầy đủ,,,,,Nam,12/08/2025,Phường Phú Thượng,Tây Hồ
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-viha-complex/em-huy-pkd-chu-dau-tu-ban-3pn3vs-gia-tot-nhat-thi-truong-6-khac-biet-noi-troi-cua-leciva-pr40405001,Em Huy PKD chủ đầu tư cần bán gấp căn hộ 3PN 3VS đẹp nhất dự án Viha Leciva giá tốt nhất thị trường,"Viha Complex, Số 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Căn hộ chung cư,8.9,91.75,97.0,3.0,3.0,Không,Không có,,,,,,14/08/2025,Phường Thanh Xuân Trung,Thanh Xuân
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-dinh-tu-phuong-xuan-dinh-prj-jade-square/ban-2pn-2vs-tai-gia-tot-nhat-thi-truong-chi-5-9-ty-lh-pr43773476,"Bán căn hộ 2PN 2VS tại chung cư Jade Square giá tốt nhất thị trường chỉ 6,2 tỷ, LH 0985 106 ***","Dự án Jade Square, Đường Nguyễn Đình Tứ, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Căn hộ chung cư,6.2,86.11,72.0,2.0,2.0,Có,Không có,,,,Nam,Bắc,13/08/2025,Phường Xuân Đỉnh,Bắc Từ Liêm
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-lang-ha-phuong-thanh-cong-prj-the-nelson-private-residences/quy-doc-quyen-2pn-3pn-du-do-truc-tiep-cdt-12-ty-ck-4-8-tang-goi-nt-200tr-pr43437719,"Quỹ căn mới 2PN và 3PN - CK 6,9% + 150tr - Tư vấn chuyên nghiệp","Dự án The Nelson Private Residences, Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội",Căn hộ chung cư,11.7,140.96,83.0,2.0,2.0,Có,Đầy đủ,,,,Đông - Bắc,,14/08/2025,Phường Thành Công,Ba Đình
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-dinh-tu-phuong-xuan-dinh-prj-jade-square/nhan-booking-ngay-2pn-2vs-tai-gia-chi-6-2-ty-ck-len-den-13-5-pr43784636,"NHẬN BOOKING NGAY CĂN HỘ 2PN, 2VS TẠI CHUNG CƯ JADE SQUARE GIÁ CHỈ TỪ 6,2 TỶ CK LÊN ĐẾN 13,5%","Jade Square, Nguyễn Đình Tứ, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Căn hộ chung cư,6.5,100.0,65.0,2.0,2.0,Có,Đầy đủ,,,,Bắc,Nam,14/08/2025,Xuân Đỉnh,Bắc Từ Liêm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-dao-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/b-qu-ly-du-quy-thg-8-chinh-chu-studio-1pn-2pn-3pn-mien-phi-trung-gi-pr43784361,"Ban quản lý dự án Vinhomes quỹ căn tháng 8 chính chủ studio 1PN 2PN 3PN, miễn phí trung gian","Dự án Vinhomes Ocean Park Gia Lâm, Đường An Đào, Xã Dương Xá, Gia Lâm, Hà Nội",Căn hộ chung cư,2.5,58.14,43.0,1.0,,Có,Không có,,,,,,14/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-sa-xa-dong-hoi-prj-lumiere-prime-hills/ban-nhanh-6-ngoai-giao-chiet-khau-19-3-truc-tiep-vao-gia-chi-99tr-m2-pr43747109,"Bán nhanh 6 căn ngoại giao Lumiere Prime Hills chiết khấu 19,3% trực tiếp vào giá chỉ 99tr/m2","Dự án Lumière Prime Hills, Đường Trường Sa, Xã Đông Hội, Đông Anh, Hà Nội",Căn hộ chung cư,6.97,99.0,70.4,2.0,2.0,Có,Đầy đủ,,,,,,10/08/2025,Xã Đông Hội,Đông Anh
