link,tieu_de,dia_chi,loai_hinh,muc_gia_ty,gia_m2_trieu,dien_tich_m2,so_phong_ngu,so_phong_tam_ve_sinh,phap_ly,noi_that,so_tang,mat_tien_m,duong_vao_m,huong_nha,huong_ban_cong,ngay_dang,phuong,quan
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-09-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-bt-song-lap-9-truc-thong-ho-tot-29-ty-bao-phi-tai-lam-pr43551548,"Bán nhanh BT song lập Sao Biển 9 trục thông hồ, giá tốt 29 tỷ bao phí tại Vinhomes Gia Lâm","Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 09, Xã Dương Xá, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,29.0,203.94,142.2,,,Có,Không có,4.0,7.9,13.0,Đông - Nam,Đông - Nam,09/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-nha-mat-pho-pho-tran-dai-nghia-phuong-dong-tam/ban-216-quan-hai-ba-trung-doan-dep-k-bo-song-pr40767939,"MP Trần Đại Nghĩa mặt tiền 9m-164m2, P. Đồng Tâm, quận Hai Bà Trưng, đoạn đẹp mặt bờ sông. Ảnh thật","Phố Trần Đại Nghĩa, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",Nhà mặt phố,42.0,256.1,164.0,,,Có,Không có,1.0,9.0,9.0,Đông,Đông,13/08/2025,Phường Đồng Tâm,Hai Bà Trưng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-19-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-xe-khe-19-dt-131m2-1-25-ty-net-pr43757458,Bán nhanh biệt thự liền kề xẻ khe Sao Biển 19 DT 130.9m Vinhomes Ocean Park 1 Gia Lâm giá 25 tỷ nét,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 19, Xã Dương Xá, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,25.0,190.98,130.9,,,Có,Không có,3.0,9.35,13.0,Đông - Bắc,Đông - Bắc,11/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-chu-trinh-phuong-phan-chu-trinh/-1-so-1-goc-2-tien-duoc-xay-cao-tang-pr41152872,"Ảnh thật mặt phố Phan Chu Trinh, 1 sổ 1 chủ - góc 2 mặt tiền, đối diện Hilton","Đường Phan Chu Trinh, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Nhà mặt phố,55.0,916.67,60.0,1.0,1.0,Có,Không có,1.0,4.25,25.0,,Tây,13/08/2025,Phường Phan Chu Trinh,Hoàn Kiếm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-an-khanh-4-prj-vinhomes-thang-long/chinh-chu-g-ban-phu-dong-nam-view-vuon-hoa-2-mat-duong-pr42871506,"Gửi bán biệt thự 175m2 Đông Nam, gần hồ, bể bơi giá chỉ 180 triệu/m2","Dự án Vinhomes Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội",Nhà biệt thự liền kề,31.5,180.0,175.0,5.0,,Có,Đầy đủ,,,,Đông - Nam,,13/08/2025,Xã An Khánh,Hoài Đức
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hai-au-3-xa-kieu-ky-prj-vinhomes-ocean-park-gia-lam/duy-nhat-song-lap-03-view-cong-vien-chi-26-8-ty-tai-vin-ocp1-cam-ket-tot-nhat-pr43768004,Duy nhất song lập Hải Âu 03 view công viên giá chỉ 26.8 tỷ tại Vin OCP1 - Cam kết giá tốt nhất,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Hải Âu 3, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,26.8,178.67,150.0,,,Có,Không có,3.0,8.3,,Đông - Nam,Đông - Nam,12/08/2025,Xã Kiêu Kỵ,Gia Lâm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-loa-xa-dong-hoi-prj-vinhomes-global-gate/chinh-chu-ban-xe-khe-nam-sat-chung-cu-cao-cap-masterise-gia-29-ty-vin-loa-pr43285984,"Quỹ độc quyền kí mới chủ đầu tư tháng 08/2025; Căn mặt hồ, gần hồ, nhìn công viên, nhìn vườn hoa","Dự án Vinhomes Global Gate, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Nhà biệt thự liền kề,23.5,313.33,75.0,8.0,8.0,Không,Không có,5.0,5.0,17.0,Đông - Nam,Đông - Nam,12/08/2025,Xã Đông Hội,Đông Anh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-15-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-gap-can-don-lap-goc-tai-1-chi-32-ty-bao-phi-pr43784227,Biệt thự đơn lập góc tại Vinhomes Ocean Park 1. Chủ cần bán gấp giá 32 tỷ bao phí,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 15, Xã Dương Xá, Gia Lâm, Hà Nội",Nhà biệt thự liền kề,32.0,210.66,151.9,,,Có,Không có,4.0,16.0,13.5,Tây - Bắc,Tây - Bắc,14/08/2025,Xã Dương Xá,Gia Lâm
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/chi-con-5-can-ngoai-giao-tang-vf9-ck-15-mua-xong-lai-ngay-1-2-ty-tai-dan-phuong-pr43697425,Chỉ còn 5 căn ngoại giao. Tặng VF9. CK 15%. Mua xong lãi ngay 1-2 tỷ tại Vinhomes Đan Phượng.,"Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",Nhà biệt thự liền kề,17.8,148.33,120.0,5.0,4.0,Có,Không có,4.0,,,Đông - Nam,Đông - Nam,04/08/2025,Xã Tân Hội,Đan Phượng
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/mua-tang-xe-o-to-dien-vinfast-mo-ban-dot-cuoi-quy-can-dep-gia-re-t-vin-dan-phuong-pr43598394,"Mua nhà tặng xe ô tô điện Vinfast. Mở bán đợt cuối quỹ căn đẹp, giá rẻ nhất Vin Đan Phượng","Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội",Nhà biệt thự liền kề,13.2,150.0,88.0,,,Không,Không có,,,,,,14/08/2025,Xã Tân Hội,Đan Phượng
