link,tieu_de,dia_chi,loai_hinh,muc_gia_ty,gia_m2_trieu,dien_tich_m2,so_phong_ngu,so_phong_tam_ve_sinh,phap_ly,noi_that,so_tang,mat_tien_m,duong_vao_m,huong_nha,huong_ban_cong,ngay_dang,phuong,quan
https://batdongsan.com.vn/ban-dat-xa-co-dong/chinh-chu-can-ban-gap-lo-goc-100m2-full-tho-gia-re-hon-thi-truong-300tr-gan-dai-hoc-quoc-gia-hn-pr43784746,CHÍNH CHỦ CẦN BÁN GẤP LÔ GÓC 100m2 FULL THỔ - GIÁ RẺ HƠN THỊ TRƯỜNG 300TR GẦN ĐẠI HỌC QUỐC GIA HN,"Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,2.9,29.0,100.0,,,Có,Không có,,6.8,7.6,Đông - Bắc,,14/08/2025,Xã Cổ Đông,Sơn Tây
https://batdongsan.com.vn/ban-dat-pho-trung-kinh-phuong-trung-hoa-4/chinh-chu-can-ban-gap-143m2-mat-mat-tien-9-3m-x-2-mat-thoang-truoc-sau-gia-62-ty-pr41685208,Chính chủ cần bán gấp 106m2 đất mặt Phố Trung Kính mặt tiền 9.3m x 2 mặt thoáng trước sau giá 57 tỷ,"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",Đất nền dự án,57.0,537.74,106.0,,,Có,Không có,,9.3,21.8,,,14/08/2025,Phường Trung Hòa,Cầu Giấy
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong/cat-lo-200-cu-khoai-so-voi-thi-truong-cho-lo-100m2-full-tho-cu-hoa-lac-sat-dhqg-gan-cnc-pr43782934,"Cắt lỗ 200 củ khoai so với thị trường cho lô đất 100m2 full thổ cư Hòa Lạc sát ĐHQG, gần CNC","Đường 21, Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,2.95,29.5,100.0,,,Có,Không có,,6.0,6.0,,,14/08/2025,Xã Cổ Đông,Sơn Tây
https://batdongsan.com.vn/ban-dat-duong-dai-lo-thang-long-xa-van-con/ban-tai-ng-53-trieu-88-3m2-hoai-duc-ha-noi-pr43780983,"Bán Đất tại Đại lộ Thăng Long, 53 triệu, 88.3m2, Hoài Đức, Hà Nội","Đường Đại lộ Thăng Long, Xã Vân Côn, Hoài Đức, Hà Nội",Đất nền dự án,4.6799,53.0,88.3,,,Có,Không có,,5.59,3.0,Đông - Bắc,,14/08/2025,Xã Vân Côn,Hoài Đức
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong/chuyen-ng-tac-can-ban-gap-tai-21-son-tay-ha-noi-gia-cuc-chat-2-85-ty-100m2-pr43778181,"Chuyển Công Tác Cần Bán Gấp đất tại Đường 21, Cổ Đông, Sơn Tây, Hà Nội giá cực chất 2,85 tỷ, 100m2","Đường 21, Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,2.85,28.5,100.0,,,Không,Không có,,6.0,8.0,Nam,,13/08/2025,Xã Cổ Đông,Sơn Tây
https://batdongsan.com.vn/ban-dat-xa-binh-yen-1/toi-chu-dau-tu-khu-phan-lo-ngay-sat-ql21-gia-f0-100m2-full-tho-mat-tien-5-8m-chi-2-9ty-pr43777856,"Tôi Chủ Đầu tư Khu Phân Lô Ngay sát Ql21 Giá F0 100m2 Full thổ Mặt Tiền 5-8m Chỉ 2,9ty","Xã Bình Yên, Thạch Thất, Hà Nội",Đất nền dự án,2.9,29.0,100.0,,,Có,Không có,,6.0,8.0,,,13/08/2025,Xã Bình Yên,Thạch Thất
https://batdongsan.com.vn/ban-dat-duong-21-1-xa-co-dong/chinh-chu-ban-gap-lo-100m2-o-trai-ho-gia-cat-lo-re-hon-thi-truong-400tr-pr43776966,Chính chủ bán GẤP lô 100m2 ở Trại Hồ - Cổ Đông giá cắt lô rẻ hơn thị trường 400tr,"Đường 21, Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,2.9,29.0,100.0,,,Có,Không có,,6.5,8.0,Đông - Nam,,13/08/2025,Xã Cổ Đông,Sơn Tây
https://batdongsan.com.vn/ban-dat-duong-dong-trang-xa-co-dong/vo-chong-em-can-ban-gap-lo-tai-gan-cong-nghe-cao-hoa-lac-pr43747181,"Vợ Chồng em cần bán gấp lô đất tại Đồng Trạng, gần công nghệ Cao Hòa Lạc","Đường Đồng Trạng, Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,2.5,25.0,100.0,,,Có,Không có,,5.0,12.0,Đông - Bắc,,10/08/2025,Xã Cổ Đông,Sơn Tây
https://batdongsan.com.vn/ban-dat-duong-vo-van-kiet-xa-nam-hong-3/ban-bia-lang-thon-ve-dong-anh-rong-15m-co-via-he-100m-gia-9-ty-pr43771201,"Bán đất bìa làng Thôn Vệ, Nam Hồng, Đông Anh đường rộng 15m có vỉa hè, 100m2 giá 9 tỷ","Đường Võ Văn Kiệt, Thôn Vệ, Xã Nam Hồng, Đông Anh, Hà Nội",Đất nền dự án,9.0,90.0,100.0,,,Có,Không có,,5.0,15.0,Bắc,,13/08/2025,Xã Nam Hồng,Đông Anh
https://batdongsan.com.vn/ban-dat-xa-co-dong/nhanh-tay-lai-ngay-300-tr-ban-nhanh-manh-96m2-full-tho-2-oto-tranh-mat-duong-nhua-kinh-doanh-pr43765085,"NHANH TAY LÃI NGAY 300 TR. BÁN NHANH MẢNH ĐẤT 96M2, FULL THỔ, 2 OTO TRÁNH MẶT ĐƯỜNG NHỰA KINH DOANH","Xã Cổ Đông, Sơn Tây, Hà Nội",Đất nền dự án,3.0,31.25,96.0,,,Có,Không có,,5.0,6.0,,,12/08/2025,Xã Cổ Đông,Sơn Tây
