link,tieu_de,dia_chi,loai_hinh,muc_gia_ty,gia_m2_trieu,dien_tich_m2,so_phong_ngu,so_phong_tam_ve_sinh,phap_ly,noi_that,so_tang,mat_tien_m,duong_vao_m,huong_nha,huong_ban_cong,ngay_dang,phuong,quan
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/-lo-goc-2-thoang-thanh-xuan-truoc-de-10-xe-may-gia-6-9-ty-pr43775320,(Lô góc 2 thoáng)Bùi Xương Trạch - Thanh Xuân - trước nhà để 10 xe máy - Giá 6.9 tỷ,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Nhà riêng,6.9,230.0,30.0,3,3,Có,Cơ bản,4,4.5,3.5,Đông - Nam,Đông - Nam,13/08/2025,Phường Khương Đình,Thanh Xuân
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-cu-1-phuong-ngoc-lam-2/sieu-pham-6-tang-thang-may-gara-o-to-50m2-o-long-bien-gia-13-5-ty-pr43232951,Siêu phẩm nhà mới Nguyễn Văn Cừ - 50m2 6 tầng thang máy - full nội thất - ô tô vào nhà - lô góc,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",Nhà riêng,12.9,273.3,47.2,3,4,Có,Đầy đủ,6,5.37,3.2,Đông - Nam,Đông - Nam,14/08/2025,Phường Ngọc Lâm,Long Biên
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thai-phuong-khuong-trung/-2-o-to-tranh-tam-quan-thanh-xuan-5-tang-thang-may-chay-veo-veo-pr43782027,"Nhà đường 2 ô tô tránh, trung tâm quận Thanh Xuân, 5 tầng thang máy chạy vèo vèo","Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",Nhà riêng,21.6,439.02,49.2,6,4,Có,Không có,5,4.7,4.26,Đông - Nam,Đông - Nam,14/08/2025,Phường Khương Trung,Thanh Xuân
https://batdongsan.com.vn/ban-nha-rieng-pho-hoang-cau-phuong-khuong-thuong/sieu-hiem-dong-da-o-to-7-tang-thang-may-x-40m2-x-mat-tien-7m-x-23-ty-noi-that-dep-pr43780545,Siêu hiếm Hoàng Cầu - Đống Đa - ô tô - 7 tầng thang máy x 40m2 x mặt tiền 7m x 23 tỷ - nội thất đẹp,"Phố Hoàng Cầu, Phường Khương Thượng, Đống Đa, Hà Nội",Nhà riêng,23.0,575.0,40.0,4,4,Có,Không có,7,7.0,4.26,Đông - Nam,Đông - Nam,13/08/2025,Phường Khương Thượng,Đống Đa
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-thuy-phuong-dich-vong/hang-hiem-phan-lo-o-to-trung-tam-66m2-x-5-tang-x-8m-mat-tien-view-mipec-pr43780133,HÀNG HIẾM - PHÂN LÔ - Ô TÔ - TRUNG TÂM XUÂN THUỶ - 66M2 x 5 TẦNG x 8m MẶT TIỀN - VIEW MIPEC,"Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Nhà riêng,21.0,318.18,66.0,5,4,Có,Không có,4,5.529999999999999,3.56,Đông - Nam,Đông - Nam,13/08/2025,Phường Dịch Vọng,Cầu Giấy
https://batdongsan.com.vn/ban-nha-rieng-phuong-xuan-la/chinh-chu-can-ban-3-tai-duong-quan-tay-ho-hn-lh-ngay-pr43035855,"Chính chủ cần bán 3 nhà tại đường Xuân La, quận Tây Hồ, HN. LH ngay 0948 689 ***","Phường Xuân La, Tây Hồ, Hà Nội",Nhà riêng,8.5,274.19,31.0,3,4,Không,Đầy đủ,5,5.140000000000001,3.4,Đông - Nam,Đông - Nam,12/08/2025,Phường Xuân La,Tây Hồ
https://batdongsan.com.vn/ban-nha-rieng-phuong-kham-thien/trung-phung-chinh-chu-can-ban-chdv-7-tang-13-phong-dt-55m2-mt-7-4m-gia-13-8-ty-pr43560045,"Chính chủ bán CHDV 8 tầng, 13 phòng, DT 55m2, MT 7,4m - Trung Phụng, Khâm Thiên, Cần Bán Gấp.","100.59 ngõ Chợ Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",Nhà riêng,13.8,250.91,55.0,13,13,Có,Đầy đủ,8,7.4,2.5,Đông - Nam,Đông - Nam,11/08/2025,Phường Khâm Thiên,Đống Đa
https://batdongsan.com.vn/ban-nha-rieng-duong-la-noi-phuong-duong-noi/minh-ban-35m2-6t-4pn-mat-ngo-88-ha-dong-oto-quay-dau-gan-nga-ba-o-va-kd-8-9ty-pr43423475,"Mình bán nhà 35m2 6T, 4PN DTSD 184m2 mặt ngõ 88 La Nội, Dương Nội, Hà Đông ôtô đỗ ở và KD, 9,5 tỷ","Ngõ 88, Đường La Nội, Phường Dương Nội, Hà Đông, Hà Nội",Nhà riêng,9.5,283.58,33.5,4,4,Có,Đầy đủ,6,4.0,5.5,Đông - Bắc,Đông - Bắc,08/08/2025,Phường Dương Nội,Hà Đông
https://batdongsan.com.vn/ban-nha-rieng-phuong-bo-de/ban-tai-long-bien-ha-noi-23-950-ty-67-72-m2-cc-p-nhieu-tien-ich-pr43156471,"Bán nhà riêng tại Phường Bồ Đề, Long Biên, Hà Nội, 23,950 tỷ, 67,72 m2, nhà CC đẹp, nhiều tiện ích","Phường Bồ Đề, Long Biên, Hà Nội",Nhà riêng,23.95,353.66,67.72,4,6,Có,Cơ bản,6,4.3,4.3,Đông - Nam,Đông - Nam,06/08/2025,Phường Bồ Đề,Long Biên
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-phuong-thuong-dinh/sieu-hiem-phan-lo-o-to-tranh-ban-giao-tho-4-tang-100m2-x-mat-tien-6-6m-x-30-ty-pr43694989,"Siêu hiếm phân lô Lê Văn Lương - ô tô tránh - bàn giao thô 4 tầng - 100m2 x mặt tiền 6,6m x 30 tỷ","Đường Lê Văn Lương, Phường Thượng Đình, Thanh Xuân, Hà Nội",Nhà riêng,30.0,300.0,100.0,5,4,Có,Không có,4,6.6,3.2600000000000002,Đông - Nam,Đông - Nam,04/08/2025,Phường Thượng Đình,Thanh Xuân
